scenario_name,scenario_label,policy_name,policy_label,mean_cumulative_policy_loss,ci_lower,ci_upper,num_test_trajectories,policy_label_short_ru,policy_label_ru,input_set,input_set_label_ru,functional_class,functional_class_label_ru,parameter_selection,parameter_selection_label_ru,uses_distributional_variables,uses_observation_history,uses_rl_training
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,history_observables_rule,Историческое правило по наблюдаемым переменным,0.0006649439997016827,0.0005966257660447957,0.0007389944675624716,50,Историческое правило по наблюдениям,Историческое правило по наблюдаемым переменным,observation_history,Наблюдаемые переменные и их история,history_linear,Линейное правило с внутренним сглаженным состоянием,validation_grid_search,Отбор по валидационным траекториям,False,True,False
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.0007192021207213695,0.0006415482702052355,0.0008035587052442202,50,Оптимизированное расширенное линейное,Оптимизированное линейное правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,tuned_linear,"Линейная форма, выбранная по валидации",validation_coordinate_search,Координатный отбор по валидационным траекториям,False,False,False
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_true_state,Оптимизированный линейный ориентир полной информации,0.00078762114729914,0.000698130057684239,0.0008887630879933519,50,Оптимизированное по истинному состоянию,Оптимизированный линейный ориентир полной информации,true_taylor_state,Истинный тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.0008263772652449332,0.0007270961878405126,0.0009315252623830773,50,Оптимизированное линейное правило,Оптимизированное линейное правило по оценённому состоянию,filtered_taylor_state,Оценённый тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,0.0025976118874930414,0.002093850563180789,0.003155197781265126,50,PPO на тейлоровском наборе,PPO-правило на оценённом тейлоровском наборе,filtered_taylor_state,Оценённый тейлоровский набор,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,0.0035133885650875858,0.0027778486986750808,0.0043631757998103815,50,PPO на расширенном состоянии,PPO-правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,calibrated_true_state_rule,Калиброванное правило по истинному состоянию,0.006144411640262597,0.005051986495381443,0.007247389133958381,50,Калиброванное по истинному состоянию,Калиброванное правило по истинному состоянию,true_taylor_state,Истинный тейлоровский набор,fixed_linear,Фиксированная линейная форма,calibrated,Калиброванные коэффициенты,False,False,False
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,classical_filtered_rule,Классическое правило по оценённому состоянию,0.00665799131166406,0.005514975128310358,0.007889292004201976,50,Фиксированное правило Тейлора,Классическое правило по оценённому состоянию,filtered_taylor_state,Оценённый тейлоровский набор,fixed_linear,Фиксированная линейная форма,calibrated,Калиброванные коэффициенты,False,False,False
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,history_observables_rule,Историческое правило по наблюдаемым переменным,0.0007556617270542741,0.0006814473709540862,0.0008343944323734523,50,Историческое правило по наблюдениям,Историческое правило по наблюдаемым переменным,observation_history,Наблюдаемые переменные и их история,history_linear,Линейное правило с внутренним сглаженным состоянием,validation_grid_search,Отбор по валидационным траекториям,False,True,False
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,optimized_linear_true_state,Оптимизированный линейный ориентир полной информации,0.0007730302948136205,0.0006840935932775445,0.0008705569626385407,50,Оптимизированное по истинному состоянию,Оптимизированный линейный ориентир полной информации,true_taylor_state,Истинный тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.0007842058211925412,0.0007066827023773637,0.0008670242337124345,50,Оптимизированное расширенное линейное,Оптимизированное линейное правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,tuned_linear,"Линейная форма, выбранная по валидации",validation_coordinate_search,Координатный отбор по валидационным траекториям,False,False,False
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.0008513761662490599,0.0007604674042874542,0.0009480833457667335,50,Оптимизированное линейное правило,Оптимизированное линейное правило по оценённому состоянию,filtered_taylor_state,Оценённый тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,0.005499588527495789,0.00452906203088943,0.006546458096258215,50,PPO на расширенном состоянии,PPO-правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,0.005814005563321701,0.004897173914301536,0.006807435716358834,50,PPO на тейлоровском наборе,PPO-правило на оценённом тейлоровском наборе,filtered_taylor_state,Оценённый тейлоровский набор,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,calibrated_true_state_rule,Калиброванное правило по истинному состоянию,0.0064650933091083326,0.00540576252896966,0.007548467513141431,50,Калиброванное по истинному состоянию,Калиброванное правило по истинному состоянию,true_taylor_state,Истинный тейлоровский набор,fixed_linear,Фиксированная линейная форма,calibrated,Калиброванные коэффициенты,False,False,False
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,classical_filtered_rule,Классическое правило по оценённому состоянию,0.007984770337051745,0.006926227882696724,0.009124737254171277,50,Фиксированное правило Тейлора,Классическое правило по оценённому состоянию,filtered_taylor_state,Оценённый тейлоровский набор,fixed_linear,Фиксированная линейная форма,calibrated,Калиброванные коэффициенты,False,False,False
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,history_observables_rule,Историческое правило по наблюдаемым переменным,0.0006649439997016827,0.0005966257660447957,0.0007389944675624716,50,Историческое правило по наблюдениям,Историческое правило по наблюдаемым переменным,observation_history,Наблюдаемые переменные и их история,history_linear,Линейное правило с внутренним сглаженным состоянием,validation_grid_search,Отбор по валидационным траекториям,False,True,False
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.0007223348123388197,0.0006451211979269332,0.000805318870421734,50,Оптимизированное расширенное линейное,Оптимизированное линейное правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,tuned_linear,"Линейная форма, выбранная по валидации",validation_coordinate_search,Координатный отбор по валидационным траекториям,False,False,False
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,optimized_linear_true_state,Оптимизированный линейный ориентир полной информации,0.00078762114729914,0.000698130057684239,0.0008887630879933519,50,Оптимизированное по истинному состоянию,Оптимизированный линейный ориентир полной информации,true_taylor_state,Истинный тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.0008035249294146865,0.0007075483795874455,0.000905820749172662,50,Оптимизированное линейное правило,Оптимизированное линейное правило по оценённому состоянию,filtered_taylor_state,Оценённый тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,0.0014990495098996393,0.001283430333125912,0.0017287154982740648,50,PPO на расширенном состоянии,PPO-правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,0.003820658607432014,0.0030161703801416693,0.0047241492667882985,50,PPO на тейлоровском наборе,PPO-правило на оценённом тейлоровском наборе,filtered_taylor_state,Оценённый тейлоровский набор,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,calibrated_true_state_rule,Калиброванное правило по истинному состоянию,0.006144411640262597,0.005051986495381443,0.007247389133958381,50,Калиброванное по истинному состоянию,Калиброванное правило по истинному состоянию,true_taylor_state,Истинный тейлоровский набор,fixed_linear,Фиксированная линейная форма,calibrated,Калиброванные коэффициенты,False,False,False
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,classical_filtered_rule,Классическое правило по оценённому состоянию,0.006464190546738607,0.0053994592844197565,0.007575527132078888,50,Фиксированное правило Тейлора,Классическое правило по оценённому состоянию,filtered_taylor_state,Оценённый тейлоровский набор,fixed_linear,Фиксированная линейная форма,calibrated,Калиброванные коэффициенты,False,False,False
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,history_observables_rule,Историческое правило по наблюдаемым переменным,0.0007556617270542741,0.0006814473709540862,0.0008343944323734523,50,Историческое правило по наблюдениям,Историческое правило по наблюдаемым переменным,observation_history,Наблюдаемые переменные и их история,history_linear,Линейное правило с внутренним сглаженным состоянием,validation_grid_search,Отбор по валидационным траекториям,False,True,False
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,optimized_linear_true_state,Оптимизированный линейный ориентир полной информации,0.0007730302948136205,0.0006840935932775445,0.0008705569626385407,50,Оптимизированное по истинному состоянию,Оптимизированный линейный ориентир полной информации,true_taylor_state,Истинный тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.0008159986663258208,0.0007326305643201878,0.000905476557603497,50,Оптимизированное расширенное линейное,Оптимизированное линейное правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,tuned_linear,"Линейная форма, выбранная по валидации",validation_coordinate_search,Координатный отбор по валидационным траекториям,False,False,False
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.0008293049747943826,0.0007415843370480144,0.0009230072671847637,50,Оптимизированное линейное правило,Оптимизированное линейное правило по оценённому состоянию,filtered_taylor_state,Оценённый тейлоровский набор,tuned_linear,"Линейная форма, выбранная по валидации",validation_grid_search,Отбор по валидационным траекториям,False,False,False
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,0.005349176754074164,0.004213191448823017,0.00646247281505216,50,PPO на расширенном состоянии,PPO-правило на расширенном оценённом состоянии,filtered_extended_state,Расширенное оценённое состояние,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,0.005800324427734546,0.004858649644221023,0.006795821743579395,50,PPO на тейлоровском наборе,PPO-правило на оценённом тейлоровском наборе,filtered_taylor_state,Оценённый тейлоровский набор,ppo_residual,Нелинейная residual-архитектура PPO,ppo_checkpoint_selection,Отбор checkpoint по валидационным траекториям,False,False,True
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,calibrated_true_state_rule,Калиброванное правило по истинному состоянию,0.0064650933091083326,0.00540576252896966,0.007548467513141431,50,Калиброванное по истинному состоянию,Калиброванное правило по истинному состоянию,true_taylor_state,Истинный тейлоровский набор,fixed_linear,Фиксированная линейная форма,calibrated,Калиброванные коэффициенты,False,False,False
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,classical_filtered_rule,Классическое правило по оценённому состоянию,0.008119774941707632,0.006941461305630341,0.00936102933653541,50,Фиксированное правило Тейлора,Классическое правило по оценённому состоянию,filtered_taylor_state,Оценённый тейлоровский набор,fixed_linear,Фиксированная линейная форма,calibrated,Калиброванные коэффициенты,False,False,False
