scenario_name,scenario_label,policy_name,policy_label,training_seed,checkpoint_iteration,validation_return,selection_objective,selection_rate_rmse,selection_unstable_episodes,benchmark_policy_name,benchmark_policy_label,mean_test_cumulative_loss,test_loss_ci_lower,test_loss_ci_upper,mean_delta_vs_linear,delta_ci_lower,delta_ci_upper,win_rate_vs_linear,probability_of_degradation_vs_linear,test_unstable_episodes,num_test_trajectories
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,11,35,-0.004998410687610168,0.0023476557657731057,0.002170655410800941,0,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.004020726653747282,0.0032530145698347773,0.004882647554222432,0.0033015245331276697,0.002583716444450516,0.004123958306791382,0.0,1.0,0,50
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,22,1,-0.0017619295017918242,0.0023861170352741474,0.0019126743747776332,0,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.0035133885434581124,0.002777848674228794,0.004363175772570023,0.0027941864228385018,0.0021068820089885825,0.00358677629070204,0.0,1.0,0,50
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,33,0,-0.008422356820561888,0.011993604086996786,0.0032712155110169853,0,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.011351631189593075,0.00982264084554445,0.012880599683387488,0.010632429068973461,0.009137740019612107,0.012118763847971796,0.0,1.0,0,50
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,11,35,-0.004784472168834483,0.002290021827636414,0.0019389486972498828,0,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.003970936786742607,0.003146232008156476,0.004884410425734336,0.0031445595216481274,0.002386068352480659,0.003990463111877794,0.0,1.0,0,50
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,22,4,-0.0030120058896992933,0.0025091398067331955,0.0017404961052661064,0,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.003592906056353062,0.002912808901272398,0.004348784320800785,0.0027665287912585824,0.0021652148181915834,0.003439802575768061,0.0,1.0,0,50
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,33,35,-0.004410500764377597,0.0019856148714394424,0.002357464475445793,0,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.0030354171979773774,0.0025159153911577022,0.0035860666670990892,0.002209039932882898,0.0017762314730765951,0.00267612343681976,0.0,1.0,0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,11,0,-0.006793812556611866,0.008377383204242096,0.001437788165580281,0,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.008760749366174861,0.00759936743009435,0.009999070826603144,0.007976543545089977,0.006841300306446246,0.009188706500646418,0.0,1.0,0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,22,4,-0.0038753712374960817,0.004473217103934291,0.0028952446790506906,0,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.006595881148354541,0.005444646387393564,0.00782215400686437,0.005811675327269656,0.004702114821316414,0.007000322559318812,0.0,1.0,0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,33,32,-0.015901730149040755,0.011030298871648948,0.0038294171431223906,0,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.013668723725848937,0.012466282575058218,0.014854376071416864,0.012884517904764057,0.011708334441994827,0.014039439192843652,0.0,1.0,0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,11,5,-0.0045300936811944175,0.004807177866796402,0.0018130947679173136,0,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.007041958862518339,0.005917670666004453,0.00818942760408705,0.006190582696404993,0.005106017358513384,0.007303871755723561,0.0,1.0,0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,22,3,-0.002742135886872868,0.0038824741322680137,0.0019207798271062028,0,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.00581406129849596,0.004897216622531006,0.006807493328801754,0.004962685132382613,0.0040811440637339436,0.005894539334232025,0.0,1.0,0,50
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,33,2,-0.004589564702783107,0.004855993642696606,0.0014112136352492565,0,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.006084682685908302,0.0051785154876039215,0.007052670279383762,0.0052333065197949545,0.004367788482639528,0.0061427907611314465,0.0,1.0,0,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,11,35,-0.005493319218378747,0.00522043090231492,0.0018422530973429285,0,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.00500781629699194,0.003972140642999553,0.006113264147055879,0.00428548148476926,0.0032580726046010007,0.005382096748143632,0.02,0.98,0,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,22,27,-0.0008365989421962418,0.0011595138430883073,0.003339595805049721,0,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.0016770132832098562,0.0014170678897432371,0.001960004022746165,0.0009546784709871764,0.0007334970081129294,0.0012026249585436893,0.02,0.98,0,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,33,28,-0.011151196792937556,0.011588345983083961,0.002546884964409598,0,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.012297614570268789,0.010811590437130906,0.013724443389650018,0.01157527975804611,0.010088889577957194,0.013003777373923102,0.0,1.0,0,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,11,35,-0.002205835749209367,0.0012376525426194206,0.003193148809521925,0,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.0017310066561429388,0.001421295602776161,0.0020681173887192217,0.0009274817268618915,0.0006795557507801594,0.0012077055310699659,0.04,0.96,0,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,22,12,-0.0023599447431693833,0.0033817564654495397,0.0018207353105417826,0,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.0046273311600196695,0.003727415114476374,0.005563916834821591,0.0038238062307386234,0.002982117590301331,0.004713298590280719,0.0,1.0,0,50
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,33,35,-0.00535333970672566,0.0022027824564161197,0.00248096301867674,0,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.0029130017341836728,0.0023777724638618914,0.0035203812375549414,0.0021094768049026245,0.0016264114626706708,0.0026491497976090534,0.0,1.0,0,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,11,28,-0.004578243442479586,0.007303584839810702,0.0028204667355879783,0,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.007479051506457176,0.006310617859078449,0.008717673068361973,0.006663052840248775,0.00551896754841191,0.007879297995061154,0.02,0.98,0,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,22,12,-0.002258033668042523,0.00540380575426562,0.002936217554818439,0,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.005462049692810795,0.004334127638345694,0.006574185221338348,0.004646051026602394,0.0035356793546501416,0.005741072694435157,0.02,0.98,0,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,ppo_filtered_extended_state,PPO-правило на расширенном оценённом состоянии,33,8,-0.009625304588479527,0.011035456852098948,0.0032894491570225177,0,optimized_linear_extended_state,Оптимизированное линейное правило на расширенном оценённом состоянии,0.012274625796357179,0.010954624448416205,0.013567737992235028,0.01145862713014878,0.010131459792579024,0.012742456701232967,0.0,1.0,0,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,11,35,-0.010436108620716245,0.006774422070034596,0.001805265037630527,0,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.006130545168280027,0.004950883833391784,0.007368034702351637,0.0053012401936053275,0.004136233142292793,0.006511312092645473,0.0,1.0,0,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,22,0,-0.0032617893848038313,0.0061947087453876875,0.001716989090727141,0,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.005800323655911259,0.004858649146711477,0.006795820718213994,0.004971018681236559,0.004054292862111418,0.00594770349128129,0.0,1.0,0,50
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,ppo_filtered_taylor_state,PPO-правило на оценённом тейлоровском наборе,33,24,-0.011460405422921186,0.006828563561804365,0.00130218952893793,0,optimized_linear_estimated_state,Оптимизированное линейное правило по оценённому состоянию,0.006179304059182573,0.005127193685538958,0.007269527568108574,0.005349999084507872,0.004327061676818554,0.006432855715264987,0.0,1.0,0,50
