t,obs_x,obs_pi,obs_i,signal_x,signal_pi,signal_i
0,0.043759897925261804,-0.0010395624040668574,0.02512277446335821,0.044552468434005815,-0.0005148691200776553,0.023708753236328935
1,0.026584037834429045,0.02686944220981784,0.06111961610301092,0.024132086464938217,0.028279785593552147,0.05774027752299874
2,0.019320448784386553,0.006308001958176834,0.027739279299005052,0.01794339058150615,0.00756248693041071,0.02903277862506136
3,0.02671182118531705,-0.022005909694854702,-0.01630747101110538,0.0268614158483409,-0.021178758131173855,-0.014039518498879083
4,0.02126993561869044,-0.03504986279882301,-0.04506518327366285,0.024337324879173818,-0.036126785574259176,-0.04352080381104133
5,0.0025347453736534373,-0.025384087991388547,-0.04241286932988333,0.0001953727554030081,-0.028570109765151005,-0.04167987451526685
6,-0.01385215468255736,-0.00433941285908644,-0.010683786259407552,-0.01597954667752613,-0.003474498120416256,-0.013668990029475194
7,-0.02006543014611503,-0.031057833038092945,-0.05866469629533714,-0.021203843354739727,-0.02839497014019507,-0.05777754716455677
8,-0.026960266382192066,-0.009448332919357025,-0.02972865281974561,-0.02650459386145579,-0.009863114873660449,-0.03189844368650043
9,-0.0380923725247124,-0.00048720948190980064,-0.012714509352216255,-0.035193869270609676,-0.00034936329584922895,-0.017147847027560822
10,-0.046548888737419254,0.006878881642024845,-0.011624990685649228,-0.045818410799026175,0.008010032160903053,-0.011705922393088397
11,0.02076838729801218,-0.03889020526924205,-0.04991540741851629,0.022791802057874466,-0.04002829432106159,-0.0501803218230867
12,0.03893088427322982,-0.038811075500903076,-0.046169811146556855,0.037500755207480155,-0.04052832253268618,-0.0492134090879091
13,0.00840427810939205,-0.03180582616906505,-0.04945302638463399,0.008964422627322785,-0.032338719270265326,-0.04661866639257801
14,0.010622599144377881,-0.016025335877801968,-0.024543264361276275,0.008993364716154308,-0.016375480344127044,-0.02526570369805197
15,-0.019216555238889564,-0.007416514335859171,-0.019097617206150604,-0.018686425954995117,-0.007324849295062512,-0.020715181122956783
16,-0.04434747315866912,0.026078359999524296,0.014543982022037459,-0.044110418802731706,0.02589737836838923,0.014984803467806743
17,-0.029085628247784313,0.015010551543146816,0.0037415710067355383,-0.02892247575178433,0.013782308443349812,0.004695511208301594
18,-0.00886014479018617,-0.025109508618456088,-0.041279946103255645,-0.008083974749902623,-0.02398312922780444,-0.040724397403257694
19,-0.03654813556741475,0.015397348016590024,0.0056022788192428025,-0.036487470152373434,0.01636160290984552,0.006065125567201155
20,-0.020805254910471825,-0.03068867316380773,-0.060682412516597714,-0.02203189613533082,-0.029653263770022024,-0.05980232335177616
21,-0.03864455663931782,-0.017334986073761695,-0.04650160802769936,-0.04003991665023828,-0.017072348579529103,-0.04705001005464989
22,-0.006459663844834509,-0.037232490596395454,-0.05530231243076739,-0.004414065580022714,-0.03660517580353075,-0.05878280771289343
23,-0.04752259825406024,0.011277069836041103,-0.004516207266857998,-0.048501872996730165,0.011197614186094189,-0.004965633611778389
24,-0.049455870378552834,0.014415931897205478,0.0011040264360308832,-0.04788943606002677,0.015752368744447222,0.0012429147595973402
25,-0.022433110250558427,-0.004849764659380429,-0.014333983622195815,-0.02352546689392538,-0.0015479100865169167,-0.01774023326040458
26,-0.0033463377038439584,0.005714716520989255,-2.4991232168720696e-05,-0.002128983644009317,0.006309422092999899,0.003596027698168727
27,0.002583151618095664,-0.008675197471277502,-0.013039186772687509,0.004478567502607719,-0.008690479469269223,-0.013648253457884299
28,-0.02939721118777606,0.01791467729937979,0.009258981306142562,-0.02732704145384888,0.020258464107292377,0.011027112004087793
29,-0.0036622377354734448,0.010100153847290625,0.014554506982311036,-0.005893251415096122,0.011049559833438189,0.013189147404286576
30,0.009111111355818765,-0.010542664718062087,-0.013791527023817451,0.00881630470524446,-0.012907243951194722,-0.014688136976731863
31,0.04206226170472466,-0.018812669780807357,-0.001260293747145978,0.04288712177756284,-0.017519136146427514,-0.0028569627114191504
32,0.03308352383483078,0.009641763939222368,0.03259110571182099,0.03272302743481636,0.009002303659532248,0.030600282267216287
33,0.042256568644868486,0.02010133599415445,0.05109550631057876,0.04190420827988366,0.019069687112016107,0.05201607860924972
34,0.02614276524969621,0.025010897274007557,0.05299545794432341,0.027807926979999825,0.02663418011666121,0.053893415772791144
35,-0.0011553675540980001,0.03675897036329457,0.05287538343479173,-0.0032592544876768412,0.03628647477568902,0.05302238692417174
36,0.02579665923259391,0.005331311994249065,0.02680891601444309,0.02727397849921784,0.005427049113561686,0.024332590863143932
37,0.035566625653835796,0.016728731165026427,0.03888208793915315,0.034002034858794564,0.016419513733466062,0.03896685502676354
38,0.061240105165040984,-0.01040085639032384,0.015829893533044474,0.060068592251387484,-0.0105612790933065,0.014357578206014528
39,0.072296231335186,-0.015523164192959436,0.0072471816633211845,0.070861687455841,-0.017150454341934265,0.008059861456111891
40,0.04850928216274514,-0.021519667740205427,-0.016787889002230088,0.05009084294157408,-0.023926741987614804,-0.015274254471997055
41,0.039446413127764604,-0.047396308707766864,-0.050241695471163667,0.040773984103020154,-0.047226151969703,-0.05102375829697512
42,0.003193154723906001,-0.0035239420375185434,-0.009139287658240762,0.003338545608255294,-0.005224927120967082,-0.007326399447967912
43,0.03405888189510261,-0.018878851488384286,-0.008798888706208726,0.03586177852073485,-0.017880184860281877,-0.009733873778703736
44,0.04095874469924893,-0.028501512807272,-0.023342771379471675,0.04020979734285665,-0.02790715844293042,-0.02451521437233983
45,0.011184262608228149,-0.019262765337199814,-0.027423217897083515,0.010801531865701083,-0.01898185283094809,-0.0264273659115045
46,0.002933089735473326,-0.005109104594724691,-0.007463983558837374,0.0024271915427734546,-0.0043076686014800695,-0.007535368622018602
47,-0.003589306047040835,-0.013425497621622862,-0.01972322850601933,-0.0023139735325616827,-0.012796554192603955,-0.01962161199057219
48,0.004345429737494923,-0.012954921133051463,-0.018225575839159062,0.004932189353380531,-0.013710956725102766,-0.018525699767150676
49,0.024826010049774937,-0.004886044968162119,0.00048606722072624736,0.02497042526229579,-0.006208988921637279,0.002291190968264445
50,0.034816368441397016,-0.007684294152151685,0.00612789476723611,0.03290662043400606,-0.005397853932912748,0.004366953663321359
51,0.022406160099128023,-0.00867719490391012,-0.007745030158296448,0.020428034659686796,-0.011022119996239655,-0.008508915378640397
52,0.02670080437813831,-0.02091998766400425,-0.021319590740239647,0.025384551446270175,-0.022326840043082267,-0.021731695416908694
53,0.03708609464032823,-0.028638818662729992,-0.021454577632975733,0.03645466178113809,-0.030060659785076316,-0.02202670186377649
54,-0.018869458278683776,0.007008605754015642,0.006639455460450912,-0.018888868437162535,0.006539879012481811,0.006275552715404574
55,-0.01036482446308203,0.02392004093388155,0.030571426103650157,-0.012490315443831,0.025000365980792024,0.03139495964526098
56,-0.017440530959730527,0.021095723359305273,0.019820796725052242,-0.018610753956767187,0.02173976346139893,0.021097644710696545
57,0.018592823404362448,-0.0015404169443659008,0.00302074525935039,0.018443850563931295,-0.0024681734093974076,0.0013769346675235774
58,0.01840413973717699,-0.008542936116704473,-0.002757116816730133,0.019963027499399655,-0.007816976046945364,-0.002870446847340866
59,0.032069709424366974,-0.030818658786905692,-0.030579400782564804,0.03170738080187178,-0.03166021436292707,-0.03102777886370448
60,0.007311123047081881,-0.029875719454921217,-0.03551011741987698,0.007634944565179535,-0.0281393523546604,-0.035025686981934485
61,0.02646117691928138,-0.015034135705350312,-0.011964126361838577,0.023993331196271853,-0.017114916130843285,-0.012791769344897654
62,-0.005324691860973913,0.006237902532444423,0.013628672515393115,-0.00391155513890445,0.006871645169940444,0.012216725704646951
63,0.00503016316869279,-0.007084887523032194,-0.004347125999866452,0.00735737268196724,-0.0057300077297484835,-0.004912045526535907
64,-0.015174335661241703,0.01226881458334231,0.0056268059307019525,-0.01233315493498725,0.011278918947549938,0.006402701347634463
65,0.01828262703736113,-0.03827717804113504,-0.051433307236070015,0.015026895377096979,-0.03825506591810247,-0.052378675111205066
66,0.018658129874925933,-0.020925170422886906,-0.030493007935850417,0.017966125215424993,-0.02343591020252221,-0.030357867910042816
67,0.004897916262238609,-0.014169225302526704,-0.020859770194313707,0.004126579450744339,-0.013409851403341722,-0.01851214301946357
68,0.016982132060981602,-0.024540621096957666,-0.029327479567676194,0.017030541111456233,-0.02470317580304841,-0.028353721927384706
69,0.03379658985504608,-0.02022926594987449,-0.012673373407935382,0.0351132824713249,-0.020641666973126197,-0.01286585288003371
70,0.027062792553885932,-0.004539728093924362,-0.005331553318331062,0.027419356520146387,-0.008533402109178358,-0.005235575928925244
71,0.04284585441970346,-0.015613195507864804,-0.0017924087247550187,0.0410874831026555,-0.014001034215091364,-0.004202063975069015
72,0.027499072918491952,-0.034089298994482806,-0.04257253562179989,0.027986302592855766,-0.03309897741869707,-0.04182119920998178
73,4.571880800955031e-05,-0.011672762856375174,-0.020432205416059813,0.00037052442831211056,-0.010597391740392556,-0.018722133520430503
74,-0.007334573753245073,-0.004085828251506006,-0.00722786405977286,-0.006845865555522664,-0.0024029165657963197,-0.006591284839429203
75,-0.011098535715789408,0.006460933883602167,0.00467071139174841,-0.010437759330636193,0.00801037333368481,0.004629242553910555
76,0.010946314527985881,-0.006909135816878466,-0.006734082678638016,0.01132970198937417,-0.006315961932103723,-0.005035526836736618
77,-0.013365773990724337,-0.019799686674644712,-0.03817028097794361,-0.00962496685610427,-0.02308917575526276,-0.03868691023570971
78,0.0037589132612706735,-0.03512267183052117,-0.04905621929931025,0.004429118769146368,-0.03566442525924188,-0.0489942596033184
79,-0.012421040106018865,-0.034263674588840456,-0.055282033972532056,-0.012137980029535724,-0.031866389673129804,-0.05320374762563578
80,-0.032563708280403336,-0.003742364968964823,-0.025086543878531094,-0.03348508793701607,-0.005315814318156272,-0.026998054855322397
81,-0.0350442915200612,0.02050663428509579,0.015656074982207845,-0.033167210264445794,0.01922630131048319,0.011866405155168869
82,-0.0004358622749888409,-0.0005271116512694971,-0.004445247521494819,-0.0014712028383215459,-0.001560936966257622,-0.005251640708251584
83,-0.007017562456655937,0.007230283810714357,0.009930810664727386,-0.004322748782929625,0.005816707505863412,0.00840255426462929
84,-0.0125651055145743,0.01215210720361664,0.010818324026282468,-0.012483419495130417,0.01318462013378986,0.011350179844874568
85,-0.012343402897496698,0.02221469001616014,0.025582435071353625,-0.012883648774635577,0.020555295479256705,0.025406020174257707
86,0.007746473832091316,-0.01147666534073734,-0.014993685175331813,0.007214013641802567,-0.011619445323924268,-0.01413428325670438
87,-0.017789514478776736,0.011837051780323743,0.010827738488887448,-0.01648690311801176,0.011474391035787368,0.011087809430965243
88,0.03137762261513412,-0.0339741129641787,-0.03331672234406709,0.03111112143044748,-0.03752880333737875,-0.034560692863712675
89,0.017485742554780123,-0.0014008864320173547,0.01165104508939321,0.019343215815903977,-0.0023410652135040662,0.011289020776268652
90,0.015721488142648538,0.006209730494960611,0.01897089647597378,0.012616925679683274,0.005219710784335571,0.01684150469627176
91,-0.022565939706880977,0.03575419610078773,0.03596461918155596,-0.023838554450624275,0.03481356166221247,0.03857343931084906
92,0.026182580854437223,-0.009542074423097778,-0.006552140665840317,0.02441568168771936,-0.012558674759493564,-0.006095754761556404
93,0.03932811855948357,-0.025389128735172697,-0.01196925229583639,0.036656061592709614,-0.023571304019913985,-0.01240834719716762
94,-0.0029123830144064497,0.018842777500402842,0.029634316018690647,-0.003585246746549734,0.01699925034940298,0.028042593649266683
95,0.00011055451923711501,-0.0034643775683326733,-0.0059714352551852425,0.0006997414395200417,-0.006663180708303161,-0.004103789775127618
96,-0.05372001579520609,0.02176140793297718,0.009552696257521018,-0.05289655064404585,0.022423183361394164,0.012498093584367717
97,-0.029315688046810142,0.0017856875679647761,-0.0027202563841675453,-0.027797798119847,0.0015095940449386491,-0.005768929942344092
98,-0.04263761405164391,0.004373689339314892,-0.01729535631901765,-0.04497050514972717,0.00425685801767132,-0.01826067044801897
99,-0.03731403726994634,0.012939410373254443,0.002609205630805104,-0.03351395027071168,0.012485330452078511,0.0003315896107243394
100,-0.021438624222343026,-0.006547286493341161,-0.02380947110427352,-0.020072516446359445,-0.008139372829854545,-0.021978629725271953
101,-0.005102090669848626,-0.0136621098147553,-0.02188571821135057,-0.005138556140246484,-0.01378520978443447,-0.022596014121584084
102,-0.02379062596827584,0.01785871716512233,0.010771491636096156,-0.024560326470113147,0.015553063907464028,0.00950464331055126
103,0.010767878421046425,-0.018709150342535043,-0.022291415359456158,0.010775375642390122,-0.01835584995086891,-0.020805464519409643
104,-0.00662014314273655,-0.022154083437617354,-0.03275288816010482,-0.00589204695566808,-0.0194508551554975,-0.030130071291067994
105,0.009761198902221754,-0.026154904209180544,-0.036642156442758,0.00875649611961483,-0.02706983351450182,-0.03766108172595785
106,-0.004588395195331608,0.0033239180974054872,-0.0035400208736909612,-0.0037156964092967884,0.0027140461345355397,-0.0007092097690178336
107,0.02880080103452727,0.0006582028865566249,0.013536177494019148,0.027567272318155946,-0.00037535734701387677,0.011432393052405275
108,0.017541471156354696,0.010829734347319174,0.021949159362203534,0.017086752718591107,0.010599866773549942,0.0240028860488638
109,0.00028663167357819027,0.012755914485970325,0.014345947492858582,-0.001699016831167313,0.012557997018995383,0.015119737383827467
110,0.01605358050570647,-0.016142493902192506,-0.019321555043559917,0.015494012417269184,-0.01855113135792232,-0.023113028403149632
111,0.006803434769826936,-0.012681385675659601,-0.015906273653586375,0.006701271901301559,-0.010752025013703374,-0.015642872986398822
112,4.41367891781824e-05,0.004516996559224223,0.0068187096133259465,-0.00029506583238036934,0.004491792790877014,0.00577091369325079
113,0.03780404968365148,-0.03786982015738413,-0.035117856428890794,0.03773428742438792,-0.03801930442452317,-0.036832963870021634
114,0.015602432713562974,-0.03048092058564793,-0.03553153826893689,0.01769592075040354,-0.031061470468744645,-0.03714372144930477
115,0.012755463969549739,-0.020575355747105492,-0.022296804013868445,0.013169683794594463,-0.020719309136887302,-0.023623441045265123
116,0.029682822512097473,-0.03777868042935263,-0.039983680403942644,0.0265697703196712,-0.03531278848477009,-0.0410201325299946
117,0.03221324304966622,-0.05941755008724236,-0.0670531757838674,0.03185948803187162,-0.05500880087428768,-0.06760455629705053
118,0.019317712281971253,-0.02690507398295466,-0.03603740617208548,0.020907779785054887,-0.030195887062990166,-0.03860657213933924
