t,obs_x,obs_pi,obs_i,signal_x,signal_pi,signal_i
119,-0.0021936294536623875,-0.010813007235460166,-0.025325943279514575,-3.497181153707313e-05,-0.01191424211609697,-0.023818367995025153
120,-0.0016840678392688407,-0.01936232499920289,-0.03832437054229181,-0.0012323116826334585,-0.020639214788144098,-0.038287024137182414
121,0.022814263980384962,-0.05191936100082323,-0.0696523045507433,0.02285519527214628,-0.047783813852331256,-0.06644807674184373
122,-0.03950945813621314,0.026763456490633584,0.017736770144423177,-0.0370065533854149,0.02634479808957381,0.016828014535117623
123,0.007088901670701402,-0.0028175322289637292,-0.00554542963075528,0.006948416298783313,-0.003180398084138039,-0.004152029648397995
124,0.010580545784142038,-0.009034155602189472,-0.011801680470500795,0.009554771003240864,-0.01048757453710919,-0.010970877131364161
125,0.01429982615977031,-0.0008659484749968254,-0.0015764687680334718,0.01415013274554006,-0.003005520943872047,0.0001761479754157558
126,0.006715511947460173,-0.004956939157279481,-0.0071950399646110675,0.007850887416943363,-0.005229282970058646,-0.006695075641692962
127,0.0028499071979124807,-0.003980458918228212,-0.0043524589095759745,0.00484001762512249,-0.0036131064697295053,-0.003906156589187698
128,-0.011918992711352758,0.006637018630917299,0.002163851156706545,-0.012713074804242485,0.004960563437454061,0.004381428632280691
129,-0.02629967809718992,0.01390286447331329,0.004993473753502302,-0.024660645026691904,0.011965176226438628,0.0052264144753013655
130,0.015923305789890367,-0.028870415749629445,-0.03249036743213648,0.01660610163643795,-0.02777843883050824,-0.033332565981963526
131,0.019300583744766724,-0.04847156945552709,-0.06480515446102458,0.020669267641686567,-0.049238563899424395,-0.06414453798130407
132,0.03681490958657122,-0.03249973881164292,-0.028944375232793716,0.037294650296834285,-0.03078679415283389,-0.030471960748263503
133,0.01904310150419475,-0.002871866534886986,0.0007650263742612478,0.017296673042208,-0.0013863373947526933,0.00020307408426938547
134,0.04797814826990812,-0.010943713689334097,-0.002302017709145791,0.04306894811946262,-0.00952125805808851,-0.0013562081824004442
135,0.02140937988348802,0.0019218010446875422,0.011382870169856025,0.020519677156322864,0.003969345749490416,0.010698885986790746
136,-0.012091702070932273,0.03325977834647353,0.036655531064365976,-0.013715280905389702,0.031910338936253696,0.03676157713181824
137,-0.014308940825012384,0.032432605802148,0.038382971936519544,-0.014570288024530226,0.032456758134005295,0.037968301368104314
138,0.0024344861659862,0.0016314838900443004,0.003959632091307352,0.0026456187660828744,0.0022221073711753505,0.0013081532639075933
139,-0.0016700963870093565,-0.006897674939610818,-0.01152113522713559,-0.001730798959172545,-0.0032266467527536087,-0.01140492464515411
140,-0.0004888218117177952,0.014018488761237059,0.011309910793150791,-0.0007423476634596383,0.012400374309454473,0.012490846348903755
141,0.004367009959319365,-7.487925139620965e-05,0.003208720068106261,0.0056851753549262436,0.0001339632377202842,0.002059186322894236
142,0.007542491292518944,-0.007767199205557997,-0.0038153676469283443,0.006973386152070285,-0.006612087809208018,-0.004613934145295052
143,-0.0046875119878249305,-0.011629895010548369,-0.013194065651995851,-0.00354670171765238,-0.008970375078820663,-0.011345417076364306
144,-0.0034134319771850245,-0.023951526464463507,-0.03418827402007897,-0.0035805695437148037,-0.02278123027297578,-0.03489538272528592
145,0.001977313506721017,0.008565955734287927,0.016713801874689304,0.002734845992111125,0.008626310644147787,0.018167871498894612
146,0.014197965664640773,-0.002545043938495893,0.008190164495559309,0.012649134982591058,-0.0027188576547619797,0.0060415873403269985
147,0.02805675843849257,-0.002471936545884426,0.014207855615562414,0.026771628565521337,-0.002276205464821191,0.012966611635823536
148,0.025542351176263196,0.012054061522222107,0.03235314944378948,0.0264792775154103,0.012483292616133146,0.03296705027163224
149,-0.008607531285239351,0.010687354299586279,0.01819446864677015,-0.006318844711608825,0.012612507060358961,0.017485507326903207
150,0.00018645255448906126,0.002727745592004391,-0.001168766797400138,0.000828304273464041,0.0022172728518036265,0.0006766100943009734
151,0.005467413727970329,0.009686374798491729,0.011325511248264534,0.005098225754551976,0.008782048460529731,0.011968282588531873
152,0.01145885635066791,0.01854553954257102,0.03035826781163132,0.010561047801834691,0.018223161403792393,0.03020722686949286
153,0.003251460083362592,0.051628248105113836,0.07479778026505646,0.004467150320000262,0.048116253035043036,0.0754642951381224
154,0.00970294715536571,0.01319981356715335,0.02308645247442798,0.008755568238289529,0.01367946477658837,0.02452221074874156
155,-0.0006000445765014643,0.008469054580283873,0.007673121131129238,-0.0006559396022199613,0.005595024949229165,0.008608527734088607
156,0.0004077381048389829,0.016135134054074043,0.01853156199590142,-0.0017068239238338663,0.015375586062862573,0.019086990873787395
157,0.0176214287313912,-0.0033343299741847537,0.002318992622123889,0.01681656620226681,-0.00330662870755564,0.002322032545449443
158,0.007869999515614921,0.02861905305949743,0.04314947121540305,0.007322346531241984,0.02801471504509735,0.04432542770700352
159,-0.014493108998982668,0.039873203089440076,0.05618925215225628,-0.015637964448334415,0.039127305557129274,0.05472482524987419
160,-0.015829638636132886,0.043157990862276396,0.05674574646998807,-0.015260895603982094,0.041866168394863595,0.05788736374893662
161,0.009632188644172625,0.020874493747977858,0.040591877228022995,0.008375300983295175,0.021623152016858126,0.03964268095323427
162,0.021683291736802852,0.004602538271202606,0.019558903623044598,0.021250203244068972,0.006551541287581241,0.018624752295281266
163,0.009100615053440703,0.0027339744687202906,0.011953178332811733,0.011265648646633163,0.0038846927127003756,0.010827630011438575
164,0.028558581262483913,0.006642592465493261,0.01924174563954667,0.027385562187583305,0.0037889562775235853,0.019270121074650988
165,-0.010392830529156781,0.02324804915146201,0.02969850990255149,-0.012045826243850057,0.021262397817196844,0.03103162183451878
166,0.010659412228630758,0.01674319367755975,0.03061097017140882,0.009822510788186757,0.016018957095302606,0.03065440853237771
167,0.01512374364026247,-0.0017099369716435462,0.0053938300873759846,0.015725379077897075,-0.0033366843061108354,0.004826159025486973
168,0.0010046558089695523,-0.002923605000970009,-0.007371681064344913,0.00016206943744217098,-0.003616577315162546,-0.005214922553157118
169,0.01161507270433058,0.0022189923827859097,0.005558922058272103,0.014463088675642825,-0.001170533396834884,0.006511380475704355
170,0.04456378994872822,-0.018425187401082666,-0.008271930339339352,0.04397983301234593,-0.018691298662894002,-0.0100523049657956
171,0.017186713601808627,-0.010563103698276942,-0.008790448649882415,0.018594542000892837,-0.008183862352832602,-0.007021559782540934
172,0.039569823138622076,-0.014524188632631165,-0.00549312672462471,0.040000632551346296,-0.01447224010180161,-0.0038957074644206204
173,0.05332481314835246,-0.02364231648670769,-0.016788389378754973,0.051687637977398976,-0.024030907848645325,-0.013661016603405286
174,-0.011778059195112258,0.019558633291129758,0.02250915954418163,-0.01227850462710497,0.01943087647974109,0.022613683641308616
175,-0.019912825715119913,0.006600939940926167,-0.0002876606299078994,-0.01997778147515564,0.004718570427784674,-0.0005095344767313833
176,-0.05525671118734774,0.018862439710476745,-0.0033512777696055995,-0.05586642754162992,0.018249038686790963,-0.0019496824234272463
177,-0.015026027504421634,-0.010244298749039073,-0.02428173889860268,-0.016180085455092277,-0.010071893975900205,-0.024743361834394566
178,0.008438030590382551,-0.046440928897208994,-0.0663298449984956,0.007497242088395011,-0.04538560715069299,-0.06620972559824903
179,0.002695427653523828,-0.03003705478767417,-0.03969388096310634,0.0009924107235667284,-0.028976064326785626,-0.03946861267331708
180,-0.011383233929914194,-0.008808886968885382,-0.011113170693879949,-0.012806416152304427,-0.007969798202545763,-0.013797052340554044
181,0.0068028239162576075,-0.013878863742727603,-0.011004194291742089,0.008669024219948428,-0.012524086342417362,-0.012171796138486695
182,-0.011350571014238036,-0.003109475115793458,-0.009519895098254495,-0.012499843006792412,-0.0021589204568777066,-0.009792098104290655
183,-0.02639449443627896,0.006995276404964042,-0.005104206044586108,-0.027874280387891873,0.006471111308821655,-0.0062513997915774645
184,-0.003030842534638219,-0.0023127139032929392,-0.0029283097416253523,-0.00421590665606031,-0.0024397991034005627,-0.00466825774224191
185,0.025783503313562477,-0.02527751019813292,-0.02955845357189387,0.025836059835726115,-0.02671204048531595,-0.029129071945438356
186,0.017890727604025294,-0.01345453084786328,-0.013229527104419112,0.017649392936846253,-0.01507485669654863,-0.012293621638464753
187,0.03187494298341802,0.0028133891829552685,0.019195514227526023,0.032392479623523734,0.0034107347684648897,0.017792298811120207
188,0.010779889569081925,0.02338502987923733,0.039049135453323135,0.008631083024136017,0.02269163717907144,0.03788888953659863
189,0.014245733432506038,0.020580936583830076,0.03572912292229284,0.012799233682471566,0.021503523233851577,0.03656692670100126
190,0.02107045019539402,0.012792362964628792,0.024094530370504057,0.020073969901834108,0.009764241349988245,0.02383798058010123
191,0.0074662867056905,0.012001275891527803,0.024028581682598377,0.008665669166998444,0.014190747446457295,0.022171655777062347
192,-0.0150064809798652,0.04638765506714812,0.05628320835546238,-0.013318449861891232,0.04684183686817312,0.057484648209416414
193,-0.0268316743246295,0.041152181298349085,0.03909982023848254,-0.026706447956076847,0.03726737870399958,0.037564463682592954
194,-0.014014603748094469,0.014723916033826775,0.017850555983072773,-0.011963751987731083,0.017742043849916338,0.01827216869748556
195,-0.01606021388173094,-0.027592145163158822,-0.050272146221053894,-0.015047655765929717,-0.028596198043129843,-0.051753065363871704
196,-0.0173681954756317,0.008989580416839317,0.005685535425349684,-0.017818821758933394,0.007209778359902009,0.004408757904195383
197,-0.025799179872172888,-0.007528676767604907,-0.026394318973745338,-0.025793990810371387,-0.008096364689593781,-0.024503158848968316
198,-0.006219680748101523,0.0072918053223223825,0.004040584633366193,-0.008544319063894516,0.0058604054205943015,0.005521015979131115
199,-0.008596069757028221,0.009373774318281873,0.00864364849176243,-0.007559550571423398,0.01003925860440373,0.008183425353745109
200,0.005019231581580489,-0.008075182669049523,-0.006332145942129135,0.00747158117376881,-0.004491159456310394,-0.0037740576545419206
201,0.02292279282696908,-0.0020087822596721793,0.01050216345631772,0.024285839208642832,-0.0004182321244562875,0.0074909434471382725
202,0.048792653314968064,-0.013518498470819812,-0.006746012632824713,0.046443660315432164,-0.014576474659398594,-0.005425934114470015
203,0.012087151618401317,0.03467088161025384,0.054404001838411264,0.012564148084907046,0.03366475473768702,0.050794320037849325
204,-0.02568949629822374,0.060261472161718545,0.07229471068418054,-0.024193758229110487,0.06069980423087406,0.07246894477996836
205,-0.0118509546501593,0.03678824650425097,0.03558485665855471,-0.013487749958684755,0.0357415234422143,0.0360486544920873
206,-0.03191584320442976,0.03341059686998161,0.029301016837281244,-0.03282189294961608,0.03263253882203126,0.029106489353834655
207,-0.019399626376432434,0.011649991326985212,0.0060532073233559944,-0.020415105673786245,0.011120867753213264,0.007123374329182999
208,-0.031618789270971434,0.027129334948360465,0.03192623210922201,-0.03231487394605704,0.0277589731139122,0.03065864061793217
209,-0.050359219912846614,0.04614104861709421,0.04794601068681621,-0.049600124897162486,0.04599142688950339,0.04879529674578929
210,-0.036968425620853305,0.0315047683576052,0.02683508337366083,-0.036375373258602045,0.03077401275640952,0.028507414970561768
211,-0.024523753719053683,0.029437020447964146,0.031066929345722194,-0.02256431650864747,0.026544906445830064,0.029140894636060323
212,0.021342007038551637,0.0035357378740861756,0.01955284800142926,0.021129809560887232,0.004296407356082658,0.01918285669911716
213,0.0023016609922665017,0.013314725651828074,0.02316743806875444,0.003094180827687265,0.012502014419529106,0.023283696628598145
214,0.013788173946822403,0.0201620051889234,0.04339442322132346,0.013383561102451265,0.0204862541975808,0.042041423461389844
215,0.0007813642760168924,0.03703528524801458,0.06243590083378302,0.001772051737579439,0.03917907192948808,0.06400055997600745
216,-0.03149603095058208,0.048344824425475025,0.06222977750255065,-0.02915513716682772,0.04885899951849873,0.062374505763599625
217,0.005284767188688581,0.027255336283734517,0.048329943471943,0.00553082984557506,0.028594624595418502,0.04692065431391258
218,0.01743224762696391,0.014358750270602766,0.03181822583245838,0.01792852018474598,0.014294299694234437,0.03206249546540005
219,0.00859259477779415,0.02805560076424946,0.046375435700564537,0.010301682715973703,0.026121155605240927,0.0482181665012301
220,0.012272245601933731,-0.006304205509105597,0.0004642807657127047,0.014762630350782407,-0.005457908202253477,0.0011250852182993014
221,-0.0037424523866003883,0.019680416619761623,0.03658373762142404,-0.002407362424366329,0.023044369016170897,0.03555529597851565
222,0.040119937916311486,0.00669882934194605,0.03327955227306594,0.03853567583825453,0.007815373461739142,0.03406346829647468
223,0.05100690500533131,-0.013596433312023834,0.0015696864256851625,0.049206404795674216,-0.014700282586625646,0.003331863173551139
224,0.05446455514025388,-0.038724733423191056,-0.03030702281146413,0.05653742463110467,-0.037985147789645214,-0.029527362729522267
225,0.03484283546990939,-0.02147689736146463,-0.014709424679363908,0.03392833154300249,-0.022610454219061483,-0.013557249674833124
226,-0.016639890825592345,0.003368763343990038,0.005836343650388705,-0.012273822738302392,0.00592987204020923,0.004661576347628591
227,-0.009836233437960995,-0.010028389325563384,-0.020352164712984337,-0.012663493485536968,-0.010092877821287972,-0.02002630506757253
228,0.018761869045350557,-0.029637427682760946,-0.034281592282520965,0.020442791096349,-0.02924252020717925,-0.03255895919645513
229,-0.011817159201719421,0.007702713025976501,0.011239741402615333,-0.010213201950580618,0.007358749338328276,0.007147074043903044
230,-0.02986099612002536,0.00971886408120236,0.006818598014048774,-0.028303554713976362,0.011616989344963973,0.007228971909262963
231,-0.001842440838506884,-0.01278732860709438,-0.015930449099111777,-0.00013011368744182,-0.012837345712789258,-0.016362801784262165
232,-0.007556266127884856,0.004467021327714166,0.0022626413284270127,-0.00818278745449293,0.004159062300599534,0.0018424692638690035
233,-0.03551684991355764,0.027206310047606916,0.026263646218142655,-0.03533372602228216,0.02720793760010356,0.024524220010214513
234,-0.02971707785096663,0.010858305237215581,-0.004540595611681022,-0.028875075838768204,0.009917136241505593,-0.003422537617772364
235,-0.011472801173409623,-0.008117467265786953,-0.020939977601092993,-0.013896895761523486,-0.0072135992399700805,-0.020668198202994204
236,0.007564785623401642,-0.013257491349389465,-0.02167802546937011,0.008908292960002562,-0.012910824080118559,-0.020564150312094447
237,-0.04162590924612106,0.047522158606882206,0.04439057416640586,-0.0402510377830061,0.045450650991605036,0.045742432039719304
238,-0.01985638925800622,0.040878093698179734,0.0464273645881583,-0.020620673681938484,0.03973458331957833,0.044991132204471214
239,-0.004064277778326272,0.028124784959921413,0.030251077157502377,-0.003422666453910879,0.025186504646880648,0.0329202310658423
